CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,geoid
10100,"Aberdeen, SD",Micropolitan Statistical Area,Aberdeen,46,100,4600100
10140,"Aberdeen, WA",Micropolitan Statistical Area,Aberdeen,53,100,5300100
10180,"Abilene, TX",Metropolitan Statistical Area,Abilene,48,1000,4801000
10220,"Ada, OK",Micropolitan Statistical Area,Ada,40,200,4000200
10300,"Adrian, MI",Micropolitan Statistical Area,Adrian,26,440,2600440
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Aguadilla,72,745,7200745
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Isabela,72,36478,7236478
10420,"Akron, OH",Metropolitan Statistical Area,Akron,39,1000,3901000
10460,"Alamogordo, NM",Micropolitan Statistical Area,Alamogordo,35,1780,3501780
10500,"Albany, GA",Metropolitan Statistical Area,Albany,13,1052,1301052
10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,Albany,41,1000,4101000
10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,Lebanon,41,41650,4141650
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Albany,36,1000,3601000
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Schenectady,36,65508,3665508
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Troy,36,75484,3675484
10620,"Albemarle, NC",Micropolitan Statistical Area,Albemarle,37,680,3700680
10660,"Albert Lea, MN",Micropolitan Statistical Area,Albert Lea,27,694,2700694
10700,"Albertville, AL",Micropolitan Statistical Area,Albertville,1,988,100988
10740,"Albuquerque, NM",Metropolitan Statistical Area,Albuquerque,35,2000,3502000
10760,"Alexander City, AL",Micropolitan Statistical Area,Alexander City,1,1132,101132
10780,"Alexandria, LA",Metropolitan Statistical Area,Alexandria,22,975,2200975
10820,"Alexandria, MN",Micropolitan Statistical Area,Alexandria,27,928,2700928
10860,"Alice, TX",Micropolitan Statistical Area,Alice,48,1852,4801852
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Allentown,42,2000,4202000
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Bethlehem,42,6088,4206088
10940,"Alma, MI",Micropolitan Statistical Area,Alma,26,1540,2601540
10980,"Alpena, MI",Micropolitan Statistical Area,Alpena,26,1740,2601740
11020,"Altoona, PA",Metropolitan Statistical Area,Altoona,42,2184,4202184
11060,"Altus, OK",Micropolitan Statistical Area,Altus,40,1700,4001700
11100,"Amarillo, TX",Metropolitan Statistical Area,Amarillo,48,3000,4803000
11140,"Americus, GA",Micropolitan Statistical Area,Americus,13,2116,1302116
11180,"Ames, IA",Metropolitan Statistical Area,Ames,19,1855,1901855
11220,"Amsterdam, NY",Micropolitan Statistical Area,Amsterdam,36,2066,3602066
11260,"Anchorage, AK",Metropolitan Statistical Area,Anchorage,2,3000,203000
11380,"Andrews, TX",Micropolitan Statistical Area,Andrews,48,3216,4803216
11420,"Angola, IN",Micropolitan Statistical Area,Angola,18,1666,1801666
11460,"Ann Arbor, MI",Metropolitan Statistical Area,Ann Arbor,26,3000,2603000
11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,Anniston,1,1852,101852
11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,Oxford,1,57576,157576
11540,"Appleton, WI",Metropolitan Statistical Area,Appleton,55,2375,5502375
11580,"Arcadia, FL",Micropolitan Statistical Area,Arcadia,12,1750,1201750
11620,"Ardmore, OK",Micropolitan Statistical Area,Ardmore,40,2600,4002600
11640,"Arecibo, PR",Metropolitan Statistical Area,Arecibo,72,3368,7203368
11660,"Arkadelphia, AR",Micropolitan Statistical Area,Arkadelphia,5,1870,501870
11700,"Asheville, NC",Metropolitan Statistical Area,Asheville,37,2140,3702140
11740,"Ashland, OH",Micropolitan Statistical Area,Ashland,39,2568,3902568
11780,"Ashtabula, OH",Micropolitan Statistical Area,Ashtabula,39,2638,3902638
11820,"Astoria, OR",Micropolitan Statistical Area,Astoria,41,3150,4103150
11860,"Atchison, KS",Micropolitan Statistical Area,Atchison,20,2900,2002900
11900,"Athens, OH",Micropolitan Statistical Area,Athens,39,2736,3902736
11940,"Athens, TN",Micropolitan Statistical Area,Athens,47,2320,4702320
11980,"Athens, TX",Micropolitan Statistical Area,Athens,48,4504,4804504
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Athens-Clarke County unified government (balance),13,3440,1303440
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,Alpharetta,13,1696,1301696
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,Atlanta,13,4000,1304000
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,Marietta,13,49756,1349756
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,Sandy Springs,13,68516,1368516
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,Atlantic City,34,2080,3402080
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,Hammonton,34,29430,3429430
12120,"Atmore, AL",Micropolitan Statistical Area,Atmore,1,3004,103004
12140,"Auburn, IN",Micropolitan Statistical Area,Auburn,18,2674,1802674
12180,"Auburn, NY",Micropolitan Statistical Area,Auburn,36,3078,3603078
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,Auburn,1,3076,103076
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,Opelika,1,57048,157048
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Augusta-Richmond County consolidated government (balance),13,4204,1304204
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,Augusta,23,2100,2302100
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,Waterville,23,80740,2380740
12380,"Austin, MN",Micropolitan Statistical Area,Austin,27,2908,2702908
12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,Austin,48,5000,4805000
12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,Georgetown,48,29336,4829336
12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,Round Rock,48,63500,4863500
12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,San Marcos,48,65600,4865600
12460,"Bainbridge, GA",Micropolitan Statistical Area,Bainbridge,13,4896,1304896
12540,"Bakersfield, CA",Metropolitan Statistical Area,Bakersfield,6,3526,603526
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Baltimore,24,4000,2404000
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Columbia,24,19125,2419125
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Towson,24,78425,2478425
12620,"Bangor, ME",Metropolitan Statistical Area,Bangor,23,2795,2302795
12660,"Baraboo, WI",Micropolitan Statistical Area,Baraboo,55,4625,5504625
12680,"Bardstown, KY",Micropolitan Statistical Area,Bardstown,21,3628,2103628
12700,"Barnstable Town, MA",Metropolitan Statistical Area,Barnstable Town,25,3690,2503690
12740,"Barre, VT",Micropolitan Statistical Area,Barre,50,3175,5003175
12780,"Bartlesville, OK",Micropolitan Statistical Area,Bartlesville,40,4450,4004450
12860,"Batavia, NY",Micropolitan Statistical Area,Batavia,36,4715,3604715
12900,"Batesville, AR",Micropolitan Statistical Area,Batesville,5,4030,504030
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Baton Rouge,22,5000,2205000
12980,"Battle Creek, MI",Metropolitan Statistical Area,Battle Creek,26,5920,2605920
13020,"Bay City, MI",Metropolitan Statistical Area,Bay City,26,6020,2606020
13060,"Bay City, TX",Micropolitan Statistical Area,Bay City,48,5984,4805984
13100,"Beatrice, NE",Micropolitan Statistical Area,Beatrice,31,3390,3103390
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Beaumont,48,7000,4807000
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Port Arthur,48,58820,4858820
13180,"Beaver Dam, WI",Micropolitan Statistical Area,Beaver Dam,55,5900,5505900
13220,"Beckley, WV",Metropolitan Statistical Area,Beckley,54,5332,5405332
13260,"Bedford, IN",Micropolitan Statistical Area,Bedford,18,4114,1804114
13300,"Beeville, TX",Micropolitan Statistical Area,Beeville,48,7192,4807192
13340,"Bellefontaine, OH",Micropolitan Statistical Area,Bellefontaine,39,5130,3905130
13380,"Bellingham, WA",Metropolitan Statistical Area,Bellingham,53,5280,5305280
13420,"Bemidji, MN",Micropolitan Statistical Area,Bemidji,27,5068,2705068
13460,"Bend, OR",Metropolitan Statistical Area,Bend,41,5800,4105800
13500,"Bennettsville, SC",Micropolitan Statistical Area,Bennettsville,45,5680,4505680
13540,"Bennington, VT",Micropolitan Statistical Area,Bennington,50,4750,5004750
13620,"Berlin, NH",Micropolitan Statistical Area,Berlin,33,5140,3305140
13660,"Big Rapids, MI",Micropolitan Statistical Area,Big Rapids,26,8300,2608300
13700,"Big Spring, TX",Micropolitan Statistical Area,Big Spring,48,8236,4808236
13720,"Big Stone Gap, VA",Micropolitan Statistical Area,Big Stone Gap,51,7480,5107480
13740,"Billings, MT",Metropolitan Statistical Area,Billings,30,6550,3006550
13780,"Binghamton, NY",Metropolitan Statistical Area,Binghamton,36,6607,3606607
